Feature,Importance
Success Category_High,0.463390620437141
Funding Stage_Series C,0.39955494429288385
Valuation ($B),0.015062143200845849
Number of Employees,0.013829988485840966
Social Media Followers,0.01339088494095594
Total Funding ($M),0.013251202095034317
Customer Base (Millions),0.01277017415808311
Success Category,0.012651547302277669
Annual Revenue ($M),0.012641496627727962
Log Revenue,0.00953162470366027
Acquired?,0.0023960573185157464
IPO?,0.0020323518743078453
Industry_Tech,0.0018842297994909889
Funding Stage_Series B,0.0017039889849082368
Industry_Logistics,0.0016702716047497645
Funding Stage_Seed,0.0016422008185441143
Funding Stage_Series A,0.0015217608657745298
Startup Age,0.001519645771984808
Country_India,0.0014977914987134829
Industry_FoodTech,0.0014233954112861016
Country_Germany,0.0013190213762191913
Industry_Energy,0.0012741921878640819
Industry_Healthcare,0.001259465126477525
Country_Brazil,0.0012394372217604636
Industry_Gaming,0.0012349405682444735
Country_France,0.0011955403211146506
Industry_EdTech,0.001180740271591032
Country_China,0.00117866618643602
Country_UK,0.001171572238662277
Industry_E-commerce,0.0011683228052001382
Country_Canada,0.0011285943743176861
Industry_FinTech,0.0011101152709208188
Country_USA,0.0011046777030596221
Country_Japan,0.0010683941554054746
Tech Stack Count,0.0
